"","gene","factor","heatmap"
"7","AC011246.1","nmf15","in heatmap"
"12","ADAMTSL1","nmf15","in heatmap"
"14","AFF3","nmf15","not in heatmap"
"37","FOXP2","nmf15","not in heatmap"
"71","PCLO","nmf15","not in heatmap"
"88","SEMA5A","nmf15","in heatmap"
"103","TMEFF2","nmf15","in heatmap"
"105","TRPM3","nmf15","in heatmap"
"23","CACNB2","nmf3","in heatmap"
"31","DOK6","nmf3","not in heatmap"
"42","GALNTL6","nmf3","not in heatmap"
"43","GNAL","nmf3","in heatmap"
"46","GRIA2","nmf3","in heatmap"
"47","GRIN2B","nmf3","not in heatmap"
"48","GRM1","nmf3","not in heatmap"
"84","ROBO1","nmf3","in heatmap"
"90","SGCD","nmf3","in heatmap"
"5","AC007368.1","nmf32","in heatmap"
"28","CSGALNACT1","nmf32","not in heatmap"
"66","NCAM2","nmf32","in heatmap"
"79","PTPRK","nmf32","in heatmap"
"91","SGCZ","nmf32","in heatmap"
"92","SHISA9","nmf32","not in heatmap"
"93","SLIT3","nmf32","in heatmap"
"17","AL136456.1","nmf35","in heatmap"
"20","ASTN2","nmf35","not in heatmap"
"26","CDH10","nmf35","not in heatmap"
"40","FUT9","nmf35","in heatmap"
"60","LINC01122","nmf35","not in heatmap"
"70","PCDH11X","nmf35","in heatmap"
"72","PCSK5","nmf35","in heatmap"
"102","TLE4","nmf35","not in heatmap"
"107","ZFHX3","nmf35","in heatmap"
"6","AC008415.1","nmf38","in heatmap"
"10","AC073091.3","nmf38","not in heatmap"
"11","AC109466.1","nmf38","not in heatmap"
"19","ARL15","nmf38","not in heatmap"
"21","ATXN1","nmf38","not in heatmap"
"24","CASC15","nmf38","in heatmap"
"25","CCDC85A","nmf38","not in heatmap"
"39","FSTL4","nmf38","not in heatmap"
"44","GPC5","nmf38","not in heatmap"
"51","HECW1","nmf38","not in heatmap"
"53","IL1RAPL2","nmf38","in heatmap"
"55","IPCEF1","nmf38","not in heatmap"
"61","LINC02055","nmf38","in heatmap"
"73","PDE10A","nmf38","not in heatmap"
"75","PDZRN3","nmf38","not in heatmap"
"80","PTPRT","nmf38","not in heatmap"
"85","RORA","nmf38","not in heatmap"
"86","RORB","nmf38","in heatmap"
"98","ST6GALNAC5","nmf38","not in heatmap"
"99","SV2B","nmf38","not in heatmap"
"101","THRB","nmf38","not in heatmap"
"8","AC013287.1","nmf46","not in heatmap"
"9","AC068587.4","nmf46","not in heatmap"
"13","ADCY2","nmf46","not in heatmap"
"18","ALCAM","nmf46","not in heatmap"
"30","DCC","nmf46","in heatmap"
"33","EML6","nmf46","not in heatmap"
"52","HTR2C","nmf46","in heatmap"
"56","ITGA8","nmf46","in heatmap"
"57","KCNB2","nmf46","not in heatmap"
"62","LUZP2","nmf46","not in heatmap"
"65","MYRIP","nmf46","not in heatmap"
"68","NPSR1-AS1","nmf46","in heatmap"
"77","PRR16","nmf46","not in heatmap"
"81","PWRN1","nmf46","not in heatmap"
"94","SNTG1","nmf46","not in heatmap"
"96","SORCS2","nmf46","not in heatmap"
"104","TRMT9B","nmf46","not in heatmap"
"106","TSHZ2","nmf46","in heatmap"
"108","ZNF385D","nmf46","not in heatmap"
"1","VAT1L","nmf61","in heatmap"
"2","ADRA1A","nmf61","in heatmap"
"3","GABRQ","nmf61","in heatmap"
"4","POU3F1","nmf61","in heatmap"
"15","AJ009632.2","nmf61","not in heatmap"
"27","COL5A2","nmf61","in heatmap"
"35","ESRRG","nmf61","not in heatmap"
"36","FAT3","nmf61","not in heatmap"
"45","GPC6","nmf61","not in heatmap"
"49","HCN1","nmf61","not in heatmap"
"50","HDAC9","nmf61","not in heatmap"
"58","KCNN2","nmf61","not in heatmap"
"63","MEG8","nmf61","not in heatmap"
"67","NFIB","nmf61","not in heatmap"
"69","NTRK2","nmf61","not in heatmap"
"74","PDE1C","nmf61","not in heatmap"
"76","PKN2-AS1","nmf61","not in heatmap"
"78","PTCHD1-AS","nmf61","not in heatmap"
"82","RAPGEF5","nmf61","not in heatmap"
"95","SORCS1","nmf61","not in heatmap"
"16","AK5","nmf68","not in heatmap"
"22","CA10","nmf68","not in heatmap"
"29","CUX1","nmf68","in heatmap"
"32","DSCAML1","nmf68","not in heatmap"
"34","ENOX1","nmf68","not in heatmap"
"38","FRAS1","nmf68","not in heatmap"
"41","GABRB3","nmf68","not in heatmap"
"54","INPP4B","nmf68","not in heatmap"
"59","KCNQ3","nmf68","not in heatmap"
"64","MMP16","nmf68","not in heatmap"
"83","RGS12","nmf68","in heatmap"
"87","SATB2","nmf68","not in heatmap"
"89","SEMA6D","nmf68","in heatmap"
"97","SORCS3","nmf68","not in heatmap"
"100","SYNPR","nmf68","in heatmap"
"109","ZNF804A","nmf68","not in heatmap"
"110","ZNF804B","nmf68","in heatmap"
